
name: alsk, total assets: 714000000, total liabilities: 621000000, market cap: 104441956, undervalued: False, difference: -11441956
name: amri, total assets: 277000000, total liabilities: 61000000, market cap: 320910865, undervalued: False, difference: -104910865
name: alcs, total assets: 253000000, total liabilities: 152000000, market cap: 31473855, undervalued: True, difference: 69526145
name: alxn, total assets: 3049000000, total liabilities: 695000000, market cap: 25797507098, undervalued: False, difference: -23443507098
name: alxa, total assets: 53000000, total liabilities: 73000000, market cap: 81209204, undervalued: False, difference: -101209204
name: alco, total assets: 182000000, total liabilities: 50000000, market cap: 286317983, undervalued: False, difference: -154317983
name: algn, total assets: 759000000, total liabilities: 183000000, market cap: 4594232100, undervalued: False, difference: -4018232100
name: alim, total assets: 30000000, total liabilities: 21000000, market cap: 142249460, undervalued: False, difference: -133249460
name: alks, total assets: 1512000000, total liabilities: 495000000, market cap: 5579905186, undervalued: False, difference: -4562905186
name: algt, total assets: 843000000, total liabilities: 441000000, market cap: 1936202287, undervalued: False, difference: -1534202287
name: allb, total assets: 435000000, total liabilities: 387000000, market cap: 75202781, undervalued: False, difference: -27202781
name: afop, total assets: 95000000, total liabilities: 18000000, market cap: 279425735, undervalued: False, difference: -202425735
name: aiq, total assets: 515000000, total liabilities: 696000000, market cap: 267136351, undervalued: False, difference: -448136351
name: ahgp, total assets: 2050000000, total liabilities: 1580000000, market cap: 3409197850, undervalued: False, difference: -2939197850
name: arlp, total assets: 2046000000, total liabilities: 1255000000, market cap: 2836175133, undervalued: False, difference: -2045175133
name: ahpi, total assets: 29000000, total liabilities: 4000000, market cap: 18622981, undervalued: True, difference: 6377019
name: amot, total assets: 66000000, total liabilities: 21000000, market cap: 113576429, undervalued: False, difference: -68576429
name: allt, total assets: 221000000, total liabilities: 52000000, market cap: 486606206, undervalued: False, difference: -317606206
name: mdrx, total assets: 2638000000, total liabilities: 1307000000, market cap: 2714316019, undervalued: False, difference: -1383316019
name: afam, total assets: 259000000, total liabilities: 45000000, market cap: 309544618, undervalued: False, difference: -95544618
name: alny, total assets: 447000000, total liabilities: 149000000, market cap: 4133103752, undervalued: False, difference: -3835103752
name: aosl, total assets: 356000000, total liabilities: 73000000, market cap: 203077811, undervalued: True, difference: 79922189
name: atec, total assets: 366000000, total liabilities: 113000000, market cap: 206830736, undervalued: True, difference: 46169264
name: alti, total assets: 66000000, total liabilities: 39000000, market cap: 45977796, undervalued: False, difference: -18977796
name: altr, total assets: 5019000000, total liabilities: 1431000000, market cap: 10401353896, undervalued: False, difference: -6813353896
name: asps, total assets: 647000000, total liabilities: 475000000, market cap: 3678855074, undervalued: False, difference: -3506855074
name: apsa, total assets: 567000000, total liabilities: 409000000, market cap: 708829020, undervalued: False, difference: -550829020
name: aimc, total assets: 608000000, total liabilities: 348000000, market cap: 913945723, undervalued: False, difference: -653945723
name: alvr, total assets: 96000000, total liabilities: 60000000, market cap: 6769368, undervalued: True, difference: 29230632
name: amag, total assets: 264000000, total liabilities: 90000000, market cap: 511021753, undervalued: False, difference: -337021753
name: amrn, total assets: 293000000, total liabilities: 311000000, market cap: 314248507, undervalued: False, difference: -332248507
name: amzn, total assets: 31861000000, total liabilities: 22774000000, market cap: 182214599450, undervalued: False, difference: -173127599450
name: ambc, total assets: 28633000000, total liabilities: 28022000000, market cap: 1111112318, undervalued: False, difference: -500112318
name: ambcw, total assets: 28633000000, total liabilities: 28022000000, market cap: 0, undervalued: True, difference: 611000000
name: amba, total assets: 159000000, total liabilities: 30000000, market cap: 899701185, undervalued: False, difference: -770701185
name: epax, total assets: 82000000, total liabilities: 21000000, market cap: 83218322, undervalued: False, difference: -22218322
name: ambt, total assets: 7000000, total liabilities: 3000000, market cap: 46145229, undervalued: False, difference: -42145229
name: amcx, total assets: 2524000000, total liabilities: 3137000000, market cap: 4839958794, undervalued: False, difference: -5452958794
name: dox, total assets: 4645000000, total liabilities: 1612000000, market cap: 6589140698, undervalued: False, difference: -3556140698
name: uhal, total assets: 5776000000, total liabilities: 4314000000, market cap: 4669006479, undervalued: False, difference: -3207006479
name: asbi, total assets: 440000000, total liabilities: 402000000, market cap: 39862158, undervalued: False, difference: -1862158
name: atax, total assets: 450000000, total liabilities: 293000000, market cap: 321633900, undervalued: False, difference: -164633900
name: amov, total assets: 77306000000, total liabilities: 54065000000, market cap: 86761510973, undervalued: False, difference: -63520510973
name: agnc, total assets: 97271000000, total liabilities: 87386000000, market cap: 7244651279, undervalued: True, difference: 2640348721
name: agncp, total assets: 97271000000, total liabilities: 87386000000, market cap: 0, undervalued: True, difference: 9885000000
name: mtge, total assets: 10809000000, total liabilities: 9626000000, market cap: 928432013, undervalued: True, difference: 254567987
name: acas, total assets: 6271000000, total liabilities: 852000000, market cap: 4372753743, undervalued: True, difference: 1046246257
name: anci, total assets: 11000000, total liabilities: 2000000, market cap: 8570940, undervalued: True, difference: 429060
name: aeti, total assets: 45000000, total liabilities: 16000000, market cap: 73965572, undervalued: False, difference: -44965572
name: amic, total assets: 164000000, total liabilities: 61000000, market cap: 95013890, undervalued: True, difference: 7986110
name: amnb, total assets: 1324000000, total liabilities: 1158000000, market cap: 213250311, undervalued: False, difference: -47250311
name: anat, total assets: 23103000000, total liabilities: 19091000000, market cap: 3018715901, undervalued: True, difference: 993284099
name: apfc, total assets: 276000000, total liabilities: 191000000, market cap: 326273080, undervalued: False, difference: -241273080
name: apei, total assets: 266000000, total liabilities: 65000000, market cap: 762465743, undervalued: False, difference: -561465743
name: arii, total assets: 816000000, total liabilities: 402000000, market cap: 982205662, undervalued: False, difference: -568205662
name: arcp, total assets: 3151000000, total liabilities: 1821000000, market cap: 2369098481, undervalued: False, difference: -1039098481
name: amrb, total assets: 602000000, total liabilities: 512000000, market cap: 80283543, undervalued: True, difference: 9716457
name: asei, total assets: 279000000, total liabilities: 83000000, market cap: 558860904, undervalued: False, difference: -362860904
name: amswa, total assets: 112000000, total liabilities: 27000000, market cap: 275077650, undervalued: False, difference: -190077650
name: amsc, total assets: 172000000, total liabilities: 59000000, market cap: 97329822, undervalued: True, difference: 15670178
name: amwd, total assets: 303000000, total liabilities: 145000000, market cap: 596625975, undervalued: False, difference: -438625975
name: crmt, total assets: 368000000, total liabilities: 158000000, market cap: 382334750, undervalued: False, difference: -172334750
name: abcb, total assets: 2818000000, total liabilities: 2528000000, market cap: 511099782, undervalued: False, difference: -221099782
name: amsf, total assets: 1312000000, total liabilities: 911000000, market cap: 782911856, undervalued: False, difference: -381911856
name: asrv, total assets: 1038000000, total liabilities: 927000000, market cap: 57855299, undervalued: True, difference: 53144701
name: asrvp, total assets: 1038000000, total liabilities: 927000000, market cap: 0, undervalued: True, difference: 111000000
name: atlo, total assets: 1213000000, total liabilities: 1071000000, market cap: 213033689, undervalued: False, difference: -71033689
name: amgn, total assets: 57073000000, total liabilities: 35345000000, market cap: 86815007799, undervalued: False, difference: -65087007799
name: fold, total assets: 69000000, total liabilities: 42000000, market cap: 142236862, undervalued: False, difference: -115236862
name: amkr, total assets: 3476000000, total liabilities: 2558000000, market cap: 1272196036, undervalued: False, difference: -354196036
name: amsg, total assets: 2147000000, total liabilities: 1232000000, market cap: 1474699787, undervalued: False, difference: -559699787
name: asys, total assets: 103000000, total liabilities: 36000000, market cap: 61888785, undervalued: True, difference: 5111215
name: afsi, total assets: 9899000000, total liabilities: 8510000000, market cap: 2428355261, undervalued: False, difference: -1039355261
name: amrs, total assets: 195000000, total liabilities: 194000000, market cap: 398897225, undervalued: False, difference: -397897225
name: anac, total assets: 44000000, total liabilities: 52000000, market cap: 691452255, undervalued: False, difference: -699452255
name: anad, total assets: 110000000, total liabilities: 23000000, market cap: 149559822, undervalued: False, difference: -62559822
name: adi, total assets: 6138000000, total liabilities: 1495000000, market cap: 15769985759, undervalued: False, difference: -11126985759
name: alog, total assets: 578000000, total liabilities: 95000000, market cap: 1118137957, undervalued: False, difference: -635137957
name: anen, total assets: 216000000, total liabilities: 27000000, market cap: 376451404, undervalued: False, difference: -187451404
name: ancb, total assets: 403000000, total liabilities: 350000000, market cap: 45900000, undervalued: True, difference: 7100000
name: amcf, total assets: 250000000, total liabilities: 192000000, market cap: 16565067, undervalued: True, difference: 41434933
name: angi, total assets: 109000000, total liabilities: 132000000, market cap: 847711084, undervalued: False, difference: -870711084
name: ango, total assets: 801000000, total liabilities: 272000000, market cap: 589081340, undervalued: False, difference: -60081340
name: anip, total assets: 43000000, total liabilities: 6000000, market cap: 188777462, undervalued: False, difference: -151777462
name: anik, total assets: 156000000, total liabilities: 28000000, market cap: 507259136, undervalued: False, difference: -379259136
name: anss, total assets: 2618000000, total liabilities: 529000000, market cap: 7996540567, undervalued: False, difference: -5907540567
name: atrs, total assets: 84000000, total liabilities: 11000000, market cap: 525767224, undervalued: False, difference: -452767224
name: anth, total assets: 44000000, total liabilities: 21000000, market cap: 53858484, undervalued: False, difference: -30858484
name: apagf, total assets: 366000000, total liabilities: 52000000, market cap: 465171592, undervalued: False, difference: -151171592
name: atny, total assets: 320000000, total liabilities: 156000000, market cap: 186476893, undervalued: False, difference: -22476893
name: apog, total assets: 508000000, total liabilities: 169000000, market cap: 1028882191, undervalued: False, difference: -689882191
name: apol, total assets: 2997000000, total liabilities: 1880000000, market cap: 3073925900, undervalued: False, difference: -1956925900
name: ainv, total assets: 3139000000, total liabilities: 1275000000, market cap: 1912548897, undervalued: False, difference: -48548897
name: aapl, total assets: 207000000000, total liabilities: 83451000000, market cap: 503934256420, undervalued: False, difference: -380385256420
name: arci, total assets: 43000000, total liabilities: 29000000, market cap: 16155131, undervalued: False, difference: -2155131
name: amat, total assets: 12043000000, total liabilities: 4955000000, market cap: 20988917830, undervalued: False, difference: -13900917830
name: amcc, total assets: 189000000, total liabilities: 95000000, market cap: 950556874, undervalued: False, difference: -856556874
name: arex, total assets: 1063000000, total liabilities: 417000000, market cap: 757414807, undervalued: False, difference: -111414807
name: apri, total assets: 22000000, total liabilities: 10000000, market cap: 95710241, undervalued: False, difference: -83710241
name: aqu, total assets: 57000000, total liabilities: 3000000, market cap: 74516100, undervalued: False, difference: -20516100
name: aquuu, total assets: 57000000, total liabilities: 3000000, market cap: 67590315, undervalued: False, difference: -13590315
name: aquuw, total assets: 57000000, total liabilities: 3000000, market cap: 0, undervalued: True, difference: 54000000
name: arcw, total assets: 67000000, total liabilities: 40000000, market cap: 170981798, undervalued: False, difference: -143981798
name: abio, total assets: 19000000, total liabilities: 0, market cap: 25237655, undervalued: False, difference: -6237655
name: acgl, total assets: 18930000000, total liabilities: 13487000000, market cap: 7805619796, undervalued: False, difference: -2362619796
name: acat, total assets: 381000000, total liabilities: 179000000, market cap: 763346565, undervalued: False, difference: -561346565
name: ardna, total assets: 106000000, total liabilities: 49000000, market cap: 388635050, undervalued: False, difference: -331635050
name: arna, total assets: 294000000, total liabilities: 182000000, market cap: 1313630197, undervalued: False, difference: -1201630197
name: arcc, total assets: 7754000000, total liabilities: 3361000000, market cap: 4938681709, undervalued: False, difference: -545681709
name: agii, total assets: 6650000000, total liabilities: 5123000000, market cap: 1239426568, undervalued: True, difference: 287573432
name: agiil, total assets: 6650000000, total liabilities: 5123000000, market cap: 0, undervalued: True, difference: 1527000000
